"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",33,"Married",15,3,22,4,2,6,"High school","MALE","White","YES","$6,000 to $6,999","$25000 OR MORE",19,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Continue to work","Favor",9,14,1
"Working part time",57,"Separated",17,3,11,21,7,5,"High school","FEMALE","Black","YES","$8,000 to $9,999","$25000 OR MORE",8175,"Should be legal","YES","Not too happy","PRETTY HAPPY","Dull","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",17,"Moderately satisfied","Continue to work","Favor",2,19,1
"Retired",21,"Divorced",15,5,53,9,5,7,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",9,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",1,"A little dissatisfied","Continue to work","Favor",15,2,1
"Other",54,"Married",16,1,29,6,9,1,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",44,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",17,1,1
"Retired",46,"Divorced",2,1,43,9,5,21,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,15,1
"Keeping house",24,"Divorced",11,4,23,5,5,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",17,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",23,"Moderately satisfied","Continue to work","Favor",17,2,15
"Working full time",30,"Divorced",11,3,58,7,7,5,"High school","MALE","White","YES","$25,000 or more","$10000 - 14999",124,"Should be legal","YES","Very happy","VERY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",1,2,2
"Working part time",33,"Separated",11,4,17,7,5,7,"High school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",56,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",12,1,15
"Retired",33,"Divorced",11,2,26,14,7,5,"Associate/junior college","MALE","White","YES","$25,000 or more","$8000 TO 9999",19,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very dissatisfied","Stop working","Favor",9,17,11
"Working part time",24,"Separated",19,1,41,7,5,7,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",3793,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",12,10,18
"Working full time",33,"Never married",2,2,27,9,4,5,"Bachelor's","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",27,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",30,"Very satisfied","Continue to work","Favor",1,19,4
"Retired",40,"Married",20,3,7,8,7,9,"High school","FEMALE","Black","NO","$25,000 or more","$25000 OR MORE",32,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Stop working","Oppose",1,15,1
"Working part time",38,"Married",11,2,13,9,7,7,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",25,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",9,15,11
