"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",37,"Divorced",16,3,34,8,4,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",64,"Should not be legal","NO","Very happy","NOT TOO HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",16,14,5
"Keeping house",33,"Never married",11,2,12,5,11,17,"Graduate","MALE","Other","YES","$25,000 or more","$1000 TO 2999",8175,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",9,2,4
"In school",39,"Married",15,2,36,18,5,9,"Bachelor's","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",1307,"Should be legal","NO","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",43,"A little dissatisfied","Continue to work","Favor",13,2,6
"Retired",24,"Widowed",3,5,56,3,5,7,"Less than high school","MALE","Black","YES","$25,000 or more","$6000 TO 6999",10,"Should be legal","NO","Not too happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Stop working","Favor",2,2,6
"Retired",33,"Married",11,3,67,7,18,7,"High school","MALE","Other","YES","$25,000 or more","$25000 OR MORE",117,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",9,14,1
"Keeping house",7,"Married",15,2,14,7,7,21,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",39,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",13,2,8
"Working part time",49,"Never married",1,2,2,7,5,1,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME",40,"Very satisfied","Continue to work","Oppose",17,2,15
"Retired",33,"Married",1,2,43,9,9,9,"Graduate","FEMALE","White","YES","$25,000 or more","$4000 TO 4999",48,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",2,16,6
"Working full time",44,"Never married",15,1,4,7,20,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",9,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",4,10,1
"Working full time",31,"Divorced",11,2,42,12,5,9,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",41,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL",39,"Very satisfied","Continue to work","Favor",13,10,1
"Working full time",46,"Married",15,2,11,12,5,9,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$10000 - 14999",3,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Stop working","Favor",12,20,1
"Retired",26,"Never married",2,2,2,8,9,7,"High school","MALE","White","YES","$25,000 or more","LT $1000",7,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL",41,"Moderately satisfied","Continue to work","Favor",13,14,1
"Working full time",8,"Never married",2,1,13,11,9,9,"Graduate","MALE","White","NO","$25,000 or more","$25000 OR MORE",84,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Continue to work","Favor",12,1,1
"Working full time",28,"Married",2,3,57,7,11,5,"High school","MALE","White","YES","$25,000 or more","$10000 - 14999",118,"Should be legal","YES","Pretty happy","NOT TOO HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"A little dissatisfied","Continue to work","Oppose",9,15,1
"Working full time",25,"Widowed",16,1,9,7,20,5,"Bachelor's","FEMALE","White","YES","$20,000 to $24,999","$10000 - 14999",48,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",32,"Very satisfied","Continue to work","Favor",2,14,3
"Working full time",35,"Never married",2,1,71,14,15,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",36,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL",25,"Moderately satisfied","Continue to work","Favor",9,10,14
"Keeping house",21,"Married",19,5,20,9,5,7,"Less than high school","MALE","White","YES","$25,000 or more","$25000 OR MORE",1198,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",35,"Moderately satisfied","Continue to work","Favor",9,14,21
"Working part time",56,"Widowed",1,3,53,5,11,18,"Graduate","FEMALE","White","YES","$15,000 to $19,999","$25000 OR MORE",10,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",40,"Moderately satisfied","Continue to work","Favor",9,17,1
"Working full time",13,"Married",15,3,45,7,5,21,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",28,"Should not be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",1,"Very satisfied","Stop working","Favor",2,2,21
"Keeping house",49,"Married",18,2,30,7,7,5,"Associate/junior college","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",9,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",17,15,1
"Working part time",33,"Married",13,3,25,7,4,5,"Associate/junior college","FEMALE","White","NO","Under $1,000","$25000 OR MORE",1307,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",39,"Moderately satisfied","Continue to work","Favor",1,18,1
"Keeping house",33,"Married",2,6,51,6,16,18,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",39,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",2,"Moderately satisfied","Continue to work","Favor",9,16,1
"Working full time",28,"Married",2,1,58,9,9,5,"Bachelor's","MALE","White","NO","$6,000 to $6,999","$25000 OR MORE",48,"Should not be legal","YES","Pretty happy","VERY HAPPY","Dull","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Continue to work","Favor",1,1,1
"Working full time",33,"Never married",17,1,25,5,5,5,"High school","MALE","White","YES","$25,000 or more","$10000 - 14999",19,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,18,1
"Working full time",38,"Divorced",16,6,17,5,20,5,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",1,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Stop working","Favor",13,10,2
"Working full time",38,"Never married",2,1,53,9,14,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",618,"Should be legal","YES","Very happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",13,15,8
"In school",13,"Never married",11,1,5,9,5,5,"High school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",11,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",16,"A little dissatisfied","Continue to work","Favor",12,10,1
"Working part time",44,"Divorced",17,4,51,5,9,5,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",2099,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Dull","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",38,"Very satisfied","Continue to work","Favor",9,15,1
"Retired",47,"Divorced",2,2,31,5,15,3,"Less than high school","MALE","Other","YES","$25,000 or more","$7000 TO 7999",8175,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Stop working","Favor",2,2,1
"Working part time",61,"Divorced",2,1,26,9,20,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",46,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",13,10,1
"Retired",31,"Divorced",11,4,12,8,9,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",14,"Should not be legal","YES","Not too happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",1,10,5
"Working full time",33,"Married",2,4,45,5,9,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",118,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",14,18,1
"Working full time",5,"Never married",2,1,13,9,7,5,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",618,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",15,14,1
"Retired",33,"Married",1,7,28,9,7,11,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",32,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Stop working","Favor",2,17,21
"Working full time",44,"Never married",20,1,10,5,9,3,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",57,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",2,14,1
"Keeping house",38,"Separated",11,2,28,5,16,8,"Bachelor's","MALE","Black","YES","$25,000 or more","$25000 OR MORE",8175,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",9,14,1
"Keeping house",33,"Married",15,3,13,9,9,9,"Bachelor's","FEMALE","White","NO","$25,000 or more","$10000 - 14999",84,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",39,"Very satisfied","Continue to work","Favor",9,15,1
"Working full time",24,"Married",15,3,18,5,5,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",93,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",17,10,1
"Working part time",33,"Divorced",15,1,38,10,5,5,"Associate/junior college","MALE","White","YES","$25,000 or more","$25000 OR MORE",11,"Should not be legal","YES","Not too happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",1,"Very satisfied","Stop working","Favor",15,14,14
"Working full time",21,"Divorced",2,1,9,5,11,7,"High school","FEMALE","White","YES","$25,000 or more","$10000 - 14999",741,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME",37,"A little dissatisfied","Continue to work","Oppose",2,11,1
"Keeping house",71,"Widowed",2,6,33,4,5,5,"Bachelor's","MALE","White","YES","Under $1,000","$5000 TO 5999",39,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",13,10,3
"Unemployed, laid off, looking for work",61,"Married",2,3,5,5,5,9,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",11,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very dissatisfied","Stop working","Favor",2,14,1
"In school",33,"Married",16,1,28,4,5,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",6,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",1,14,2
"Keeping house",44,"Divorced",11,2,27,18,8,12,"Associate/junior college","MALE","White","YES","$25,000 or more","$15000 - 19999",4,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",37,"Very satisfied","Continue to work","Favor",12,10,13
"Working full time",4,"Married",2,3,2,11,14,5,"Bachelor's","MALE","White","YES","$10,000 to $14,999","$25000 OR MORE",16,"Should be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",38,"Very satisfied","Continue to work","Favor",9,2,1
"In school",33,"Divorced",19,1,32,5,5,1,"Less than high school","MALE","Other","YES","$3,000 to $3,999","$25000 OR MORE",11,"Should not be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Very satisfied","Stop working","Oppose",1,15,1
