"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Keeping house",29,"Never married",15,5,22,21,13,7,"High school","MALE","Other","YES","$10,000 to $14,999","$25000 OR MORE",563,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Oppose",13,18,1
"Working full time",33,"Married",16,1,26,11,4,16,"Graduate","FEMALE","White","YES","Under $1,000","$25000 OR MORE",11,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",9,19,11
"Working full time",49,"Married",2,3,55,9,14,9,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",602,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",9,18,1
"Working full time",29,"Never married",20,1,35,5,5,10,"Associate/junior college","MALE","White","YES","$8,000 to $9,999","LT $1000",4,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Oppose",2,19,6
"Retired",33,"Married",11,2,31,10,7,5,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$5000 TO 5999",16,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",9,10,6
"Working full time",33,"Married",15,1,16,5,5,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",69,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",14,15,1
"Working part time",38,"Married",2,4,21,7,16,5,"Bachelor's","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",336,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",16,14,3
"Keeping house",18,"Never married",2,1,11,21,11,20,"Graduate","MALE","White","YES","$25,000 or more","$25000 OR MORE",105,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",13,16,1
"Working part time",33,"Never married",2,1,27,5,18,7,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",19,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY",35,"Very satisfied","Continue to work","Favor",1,17,11
"Working full time",38,"Separated",17,2,27,5,5,18,"High school","FEMALE","Other","YES","$10,000 to $14,999","$25000 OR MORE",304,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Continue to work","Favor",9,10,1
"In school",39,"Married",15,1,24,5,9,9,"High school","MALE","Black","YES","$25,000 or more","$5000 TO 5999",285,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Very satisfied","Stop working","Favor",12,7,21
"Working full time",33,"Divorced",17,2,53,9,12,5,"Less than high school","MALE","White","NO","$25,000 or more","$8000 TO 9999",336,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",41,"Very satisfied","Continue to work","Favor",2,17,1
"Keeping house",28,"Married",2,3,43,9,5,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$8000 TO 9999",43,"Should not be legal","NO","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",30,"Moderately satisfied","Stop working","Favor",1,14,1
"Working full time",33,"Married",18,3,21,5,5,20,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",4,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",1,16,5
"Keeping house",33,"Married",21,5,24,5,6,5,"Bachelor's","MALE","White","YES","$8,000 to $9,999","$3000 TO 3999",1,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",14,"Very satisfied","Continue to work","Favor",9,14,1
"Working full time",33,"Married",17,1,12,10,7,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",69,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",40,"Very satisfied","Stop working","Favor",2,14,1
"Working part time",31,"Never married",15,1,15,8,9,7,"Graduate","FEMALE","Other","YES","$25,000 or more","$10000 - 14999",260,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,14,4
"Keeping house",24,"Divorced",11,4,23,5,5,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",17,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",23,"Moderately satisfied","Continue to work","Favor",17,2,15
"Keeping house",44,"Married",21,2,62,8,21,18,"High school","MALE","Black","NO","$25,000 or more","$25000 OR MORE",600,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",9,16,1
"With a job, but not at work because of temporary illness, vacation, strike",24,"Married",17,3,32,9,10,9,"Associate/junior college","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",40,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",14,17,5
"Retired",41,"Married",15,3,36,8,9,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",42,"Very satisfied","Stop working","Favor",13,17,11
"Working full time",60,"Separated",16,1,23,11,3,3,"Associate/junior college","FEMALE","White","YES","$25,000 or more","LT $1000",64,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",26,"Very satisfied","Continue to work","Favor",2,15,1
"Working part time",57,"Separated",17,3,11,21,7,5,"High school","FEMALE","Black","YES","$8,000 to $9,999","$25000 OR MORE",8175,"Should be legal","YES","Not too happy","PRETTY HAPPY","Dull","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",17,"Moderately satisfied","Continue to work","Favor",2,19,1
"Retired",29,"Widowed",16,4,71,12,10,5,"High school","FEMALE","White","YES","$25,000 or more","$8000 TO 9999",43,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",15,2,1
"In school",24,"Married",2,2,16,11,14,9,"Graduate","FEMALE","Other","NO","$25,000 or more","$8000 TO 9999",14,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",2,14,1
"Keeping house",7,"Married",15,2,14,7,7,21,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",39,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",13,2,8
"Retired",52,"Never married",4,2,13,5,5,5,"High school","FEMALE","Black","YES","$10,000 to $14,999","$7000 TO 7999",19,"Should be legal","YES","Not too happy","PRETTY HAPPY","Dull","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",12,1,2
"Keeping house",33,"Divorced",15,3,45,9,19,20,"Bachelor's","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",11,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",30,"A little dissatisfied","Stop working","Favor",14,10,4
"Retired",33,"Married",2,2,26,5,9,5,"Graduate","MALE","Other","NO","$25,000 or more","$25000 OR MORE",39,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",9,14,21
"Working full time",33,"Married",1,1,31,6,7,18,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",7,"Should not be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",9,2,1
"Working full time",46,"Married",19,1,34,7,14,7,"High school","MALE","White","NO","$10,000 to $14,999","$25000 OR MORE",193,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",21,"A little dissatisfied","Stop working","Favor",12,10,7
"Working full time",25,"Married",11,3,13,9,5,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",618,"Should not be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",35,"Very satisfied","Continue to work","Favor",9,16,1
"Retired",46,"Divorced",2,1,43,9,5,21,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,15,1
"Working full time",33,"Never married",15,2,16,6,5,7,"Less than high school","FEMALE","Black","YES","$25,000 or more","$6000 TO 6999",1198,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",39,"Very satisfied","Continue to work","Favor",13,14,1
"Working part time",33,"Married",17,4,17,9,9,9,"Less than high school","MALE","White","YES","$25,000 or more","$25000 OR MORE",105,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,10,1
"Working full time",30,"Married",2,2,40,8,14,7,"High school","MALE","White","YES","$25,000 or more","$10000 - 14999",6,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",14,17,11
"Retired",54,"Married",2,3,18,20,6,9,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",57,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","HARDLY ANY","A GREAT DEAL",40,"A little dissatisfied","Continue to work","Favor",1,10,14
"Working full time",33,"Never married",15,3,57,14,14,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",32,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",39,"Very satisfied","Stop working","Favor",9,10,1
"Retired",33,"Never married",19,5,36,5,10,20,"Less than high school","MALE","Black","YES","$25,000 or more","$10000 - 14999",8175,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL",1,"Very satisfied","Continue to work","Favor",2,15,1
"Working full time",54,"Never married",16,3,8,7,6,18,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",11,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",2,14,1
"Keeping house",49,"Widowed",18,1,53,10,11,8,"High school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",71,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",22,"Moderately satisfied","Continue to work","Favor",1,10,1
"Working full time",44,"Married",11,1,32,5,5,9,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",439,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",9,16,14
"Working full time",51,"Married",17,4,43,9,9,14,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",30,"Should not be legal","YES","Very happy","PRETTY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,17,2
"Working full time",10,"Widowed",17,6,56,14,7,11,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",621,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Stop working","Favor",14,14,1
"Working full time",38,"Never married",20,7,41,9,21,7,"High school","MALE","White","YES","$25,000 or more","$20000 - 24999",3,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",1,"A little dissatisfied","Continue to work","Favor",9,2,2
"Unemployed, laid off, looking for work",33,"Married",16,3,37,9,5,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",13,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",40,"Very satisfied","Continue to work","Favor",2,10,1
"Working part time",7,"Married",15,1,52,7,7,7,"High school","FEMALE","White","YES","$25,000 or more","$5000 TO 5999",19,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",2,17,11
"Working full time",28,"Separated",11,4,25,5,18,18,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",14,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",9,16,6
"Keeping house",7,"Never married",11,5,11,5,5,17,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",74,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",42,"Moderately satisfied","Continue to work","Favor",12,14,11
"Working full time",35,"Married",21,2,46,5,5,5,"Bachelor's","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",30,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",16,"Moderately satisfied","Continue to work","Favor",18,10,4
"Retired",49,"Married",15,8,36,4,9,19,"High school","MALE","Black","YES","$25,000 or more","$20000 - 24999",10,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",21,"Moderately satisfied","Continue to work","Favor",2,14,4
"Keeping house",33,"Never married",2,3,57,9,3,5,"High school","MALE","White","YES","$10,000 to $14,999","$25000 OR MORE",8,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",44,"Very satisfied","Stop working","Favor",2,4,21
