"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",33,"Never married",11,3,16,7,3,20,"Associate/junior college","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",9,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",30,"A little dissatisfied","Continue to work","Favor",14,1,2
"Unemployed, laid off, looking for work",33,"Married",16,1,23,9,20,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",1,"Should not be legal","YES","Not too happy","VERY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",2,14,1
"Working full time",44,"Widowed",11,1,60,21,5,18,"Bachelor's","FEMALE","White","YES","$20,000 to $24,999","$10000 - 14999",41,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",2,14,15
"Working part time",33,"Never married",11,6,11,9,14,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",193,"Should be legal","NO","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",2,15,15
"Working part time",24,"Never married",11,1,13,7,9,5,"Bachelor's","FEMALE","Black","YES","$10,000 to $14,999","$6000 TO 6999",8175,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Stop working","Favor",9,10,3
"Keeping house",54,"Married",18,4,34,7,5,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",10,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"A little dissatisfied","Continue to work","Oppose",9,16,1
"Working full time",44,"Never married",15,1,4,7,20,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",9,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",40,"Moderately satisfied","Continue to work","Favor",4,10,1
"Keeping house",24,"Divorced",11,4,23,5,5,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",17,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",23,"Moderately satisfied","Continue to work","Favor",17,2,15
"Working full time",33,"Never married",15,5,18,9,5,18,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",462,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",35,"Moderately satisfied","Stop working","Favor",12,1,1
"Unemployed, laid off, looking for work",13,"Married",11,5,52,4,5,9,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",95,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",2,17,7
"Retired",33,"Married",11,3,67,7,18,7,"High school","MALE","Other","YES","$25,000 or more","$25000 OR MORE",117,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",9,14,1
"Other",28,"Separated",19,1,52,5,5,5,"Associate/junior college","MALE","Black","YES","$25,000 or more","$25000 OR MORE",319,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",9,2,15
"Retired",29,"Divorced",15,4,29,5,7,5,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",21,"Should be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",2,16,3
"Working full time",38,"Married",17,3,39,5,20,4,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",27,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Continue to work","Favor",9,14,1
"Working full time",35,"Married",21,2,46,5,5,5,"Bachelor's","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",30,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",16,"Moderately satisfied","Continue to work","Favor",18,10,4
"Working full time",44,"Married",11,1,12,9,4,19,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",10,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",38,"A little dissatisfied","Stop working","Favor",1,3,1
"Working full time",37,"Divorced",15,4,50,9,20,5,"Graduate","MALE","White","YES","$25,000 or more","$1000 TO 2999",8,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",13,16,5
"Retired",71,"Married",11,4,25,5,7,5,"Bachelor's","FEMALE","White","YES","$25,000 or more","$20000 - 24999",32,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",1,15,1
"In school",24,"Married",2,2,16,11,14,9,"Graduate","FEMALE","Other","NO","$25,000 or more","$8000 TO 9999",14,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",2,14,1
"Keeping house",7,"Married",15,2,14,7,7,21,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",39,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",13,2,8
"Retired",33,"Divorced",11,3,50,9,20,11,"Bachelor's","FEMALE","White","YES","$7,000 to $7,999","$25000 OR MORE",2,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",15,"Moderately satisfied","Continue to work","Favor",13,15,1
"Unemployed, laid off, looking for work",33,"Married",11,1,10,5,5,20,"High school","MALE","White","NO","$25,000 or more","$4000 TO 4999",325,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Stop working","Favor",12,15,1
"Keeping house",54,"Divorced",16,8,44,5,7,5,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",2696,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",12,16,11
"Working full time",44,"Never married",15,4,9,6,14,9,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",8,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",1,2,1
"Working full time",8,"Never married",2,1,13,11,9,9,"Graduate","MALE","White","NO","$25,000 or more","$25000 OR MORE",84,"Should be legal","YES","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Continue to work","Favor",12,1,1
"Keeping house",66,"Married",16,2,35,14,14,5,"High school","FEMALE","White","NO","$4,000 to $4,999","$8000 TO 9999",26,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Oppose",2,10,1
"Retired",24,"Married",17,2,13,19,5,7,"Associate/junior college","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",304,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",42,"Very satisfied","Stop working","Favor",9,14,15
"Keeping house",49,"Never married",16,5,28,10,18,7,"Associate/junior college","FEMALE","White","YES","$10,000 to $14,999","$25000 OR MORE",41,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",1,10,9
"Other",20,"Married",5,4,26,6,8,5,"High school","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",29,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",9,14,1
"Working full time",33,"Married",16,1,31,9,5,3,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",336,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",13,2,1
"Working full time",33,"Never married",11,3,46,14,9,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Pretty happy","NOT TOO HAPPY","Routine","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",1,17,1
"Working full time",44,"Married",2,1,54,7,5,21,"Bachelor's","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",67,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",31,"Moderately satisfied","Continue to work","Favor",12,6,15
"Working full time",44,"Married",18,4,71,4,5,5,"High school","MALE","White","NO","$25,000 or more","$20000 - 24999",60,"Should not be legal","YES","Pretty happy","NOT TOO HAPPY","Routine","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY",1,"Very satisfied","Stop working","Favor",1,15,5
"Working part time",2,"Married",17,3,45,8,5,9,"High school","FEMALE","White","YES","$6,000 to $6,999","$25000 OR MORE",304,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",32,"Moderately satisfied","Continue to work","Favor",17,2,1
