"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",33,"Married",16,3,38,11,8,3,"Bachelor's","FEMALE","White","YES","$25,000 or more","$10000 - 14999",9,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,16,1
"Working full time",61,"Never married",1,1,5,5,7,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",8,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY",39,"Moderately satisfied","Continue to work","Favor",2,14,1
"Working full time",33,"Married",15,5,28,11,6,20,"Less than high school","FEMALE","Black","NO","$25,000 or more","$25000 OR MORE",30,"Should not be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",42,"Moderately satisfied","Continue to work","Favor",9,12,11
"Working part time",24,"Separated",19,1,41,7,5,7,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",3793,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",12,10,18
"Working part time",33,"Divorced",19,1,29,8,9,5,"High school","FEMALE","Black","YES","$25,000 or more","$4000 TO 4999",166,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",11,16,1
"Working full time",23,"Divorced",2,1,21,5,15,5,"High school","MALE","White","YES","$25,000 or more","$20000 - 24999",64,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",30,"Moderately satisfied","Continue to work","Favor",14,1,4
"Keeping house",33,"Married",21,5,24,5,6,5,"Bachelor's","MALE","White","YES","$8,000 to $9,999","$3000 TO 3999",1,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",14,"Very satisfied","Continue to work","Favor",9,14,1
"Working full time",11,"Married",11,3,38,5,9,14,"High school","MALE","White","YES","$20,000 to $24,999","$10000 - 14999",56,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Dull","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",17,13,1
"Working full time",24,"Married",15,1,51,7,9,21,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$10000 - 14999",16,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",9,10,1
"Working full time",48,"Never married",2,3,8,14,18,9,"High school","MALE","Other","NO","$25,000 or more","$20000 - 24999",245,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",1,"Very satisfied","Continue to work","Favor",11,1,16
