"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Unemployed, laid off, looking for work",41,"Never married",19,1,43,15,9,5,"Less than high school","FEMALE","Other","NO","$20,000 to $24,999","$25000 OR MORE",33,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",42,"Very satisfied","Stop working","Favor",9,10,15
"Working part time",33,"Divorced",15,3,48,9,7,21,"Graduate","FEMALE","White","YES","$8,000 to $9,999","$3000 TO 3999",61,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY",30,"Moderately satisfied","Continue to work","Favor",13,10,1
"Working full time",38,"Divorced",21,2,17,14,9,6,"High school","FEMALE","Black","YES","$10,000 to $14,999","$25000 OR MORE",2099,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",13,10,6
"Working part time",2,"Never married",2,3,9,14,6,8,"High school","FEMALE","Black","YES","$25,000 or more","$1000 TO 2999",319,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",12,15,1
"Retired",33,"Married",11,4,47,11,1,18,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$10000 - 14999",36,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",30,"Moderately satisfied","Stop working","Favor",9,18,1
"Keeping house",24,"Married",3,2,10,6,7,4,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",8175,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",1,10,1
"Working full time",33,"Never married",11,1,43,9,7,1,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",245,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",42,"Very dissatisfied","Continue to work","Favor",15,17,1
"Keeping house",1,"Never married",16,1,53,9,4,5,"Less than high school","MALE","White","NO","$10,000 to $14,999","$25000 OR MORE",30,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",2,7,4
"Working full time",33,"Married",20,1,34,7,5,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",109,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","HARDLY ANY","HARDLY ANY",34,"Very satisfied","Stop working","Favor",9,10,1
"Working full time",33,"Divorced",16,4,25,10,14,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",69,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",24,"Moderately satisfied","Continue to work","Favor",9,1,1
