"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working full time",28,"Divorced",2,4,35,6,5,4,"High school","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",30,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL",42,"Very satisfied","Stop working","Favor",9,16,2
"Working full time",33,"Married",2,3,19,9,20,18,"Less than high school","MALE","Other","NO","$25,000 or more","$25000 OR MORE",48,"Should not be legal","NO","Not too happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",16,10,1
"With a job, but not at work because of temporary illness, vacation, strike",38,"Never married",15,4,45,12,20,18,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",70,"Should not be legal","NO","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",9,15,3
"Working full time",38,"Married",18,1,40,9,5,5,"Less than high school","MALE","White","YES","$25,000 or more","$15000 - 19999",336,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","ONLY SOME","A GREAT DEAL",15,"Very satisfied","Continue to work","Favor",2,10,1
"Working full time",28,"Never married",11,4,45,9,5,9,"High school","MALE","White","NO","$25,000 or more","$25000 OR MORE",1307,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"A little dissatisfied","Continue to work","Favor",9,16,1
"Working full time",48,"Married",2,1,11,9,5,20,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$3000 TO 3999",946,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","A GREAT DEAL",42,"Very dissatisfied","Stop working","Favor",13,14,1
"Working full time",46,"Never married",2,1,12,7,18,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",105,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",38,"Moderately satisfied","Continue to work","Favor",14,10,21
"Unemployed, laid off, looking for work",38,"Never married",20,1,23,5,5,20,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",285,"Should not be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",15,"Moderately satisfied","Continue to work","Favor",9,14,1
"Working full time",46,"Married",16,4,55,9,7,6,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",39,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",2,17,5
"Other",33,"Married",2,3,48,7,18,11,"Less than high school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",24,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",40,"Very satisfied","Stop working","Favor",17,15,1
"Working full time",33,"Married",20,1,34,7,5,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",109,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","HARDLY ANY","HARDLY ANY",34,"Very satisfied","Stop working","Favor",9,10,1
"Working full time",33,"Married",15,2,18,9,5,19,"Graduate","MALE","Other","NO","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",9,14,1
"Retired",47,"Never married",2,5,10,8,5,4,"Bachelor's","FEMALE","White","YES","Under $1,000","$25000 OR MORE",16,"Should not be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",39,"Very satisfied","Continue to work","Favor",2,10,1
"Working full time",33,"Married",2,3,27,14,9,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",32,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",1,16,16
"Keeping house",62,"Never married",17,1,49,5,5,11,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",319,"Should not be legal","YES","Not too happy","VERY HAPPY","Dull","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL",42,"Moderately satisfied","Continue to work","Favor",13,15,3
"Retired",28,"Married",17,2,50,11,9,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",75,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Oppose",2,1,12
"Working part time",2,"Married",15,3,44,9,1,9,"High school","FEMALE","White","YES","$20,000 to $24,999","$25000 OR MORE",7,"Should be legal","YES","Pretty happy","VERY HAPPY","Dull","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,2,6
"Working full time",29,"Never married",16,2,65,9,19,5,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",49,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",39,"Very satisfied","Continue to work","Favor",9,14,1
