"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Other",54,"Married",16,1,29,6,9,1,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",44,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",17,1,1
"Keeping house",2,"Divorced",15,4,37,8,20,5,"Bachelor's","FEMALE","Black","YES","$20,000 to $24,999","$25000 OR MORE",90,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,16,5
"Working full time",33,"Widowed",16,1,48,5,5,9,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",134,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",9,16,1
"Unemployed, laid off, looking for work",18,"Never married",11,1,23,9,5,7,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",563,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Continue to work","Favor",2,14,16
"Working part time",33,"Never married",1,5,18,6,7,9,"High school","MALE","White","YES","$25,000 or more","$15000 - 19999",11,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Very satisfied","Stop working","Favor",2,10,6
"Working part time",61,"Married",2,3,30,7,5,5,"Bachelor's","FEMALE","White","YES","$10,000 to $14,999","$10000 - 14999",12,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",9,16,1
"Keeping house",24,"Never married",15,2,27,5,21,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",49,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",42,"Very satisfied","Stop working","Oppose",2,2,1
"Working full time",44,"Separated",1,2,30,5,11,21,"High school","FEMALE","Black","YES","$25,000 or more","$20000 - 24999",16,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"A little dissatisfied","Continue to work","Favor",1,10,15
"Keeping house",29,"Widowed",15,3,23,9,7,18,"Less than high school","MALE","White","NO","$25,000 or more","$5000 TO 5999",805,"Should not be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",1,"Moderately satisfied","Stop working","Favor",12,14,1
"Retired",41,"Married",15,3,36,8,9,5,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",42,"Very satisfied","Stop working","Favor",13,17,11
"Retired",38,"Married",2,3,33,7,19,8,"Graduate","MALE","Other","YES","$25,000 or more","$25000 OR MORE",8175,"Should not be legal","NO","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME",37,"Very satisfied","Continue to work","Favor",2,10,1
"Keeping house",33,"Married",11,1,11,9,18,9,"Bachelor's","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",8175,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",14,"Very satisfied","Continue to work","Favor",17,10,1
"Working full time",25,"Married",11,3,13,9,5,5,"Graduate","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",618,"Should not be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",35,"Very satisfied","Continue to work","Favor",9,16,1
"Retired",25,"Never married",17,6,49,18,5,21,"High school","FEMALE","Black","YES","$25,000 or more","$10000 - 14999",1198,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Stop working","Favor",1,14,4
"Other",20,"Married",5,4,26,6,8,5,"High school","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",29,"Should be legal","NO","Pretty happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",9,14,1
"Working part time",44,"Separated",11,4,36,10,5,5,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",94,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",13,"Moderately satisfied","Stop working","Favor",9,14,1
