"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Retired",66,"Married",15,3,44,12,20,5,"Graduate","MALE","White","YES","$25,000 or more","$20000 - 24999",75,"Should be legal","YES","Very happy","VERY HAPPY","Routine","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Stop working","Favor",9,16,1
"Working full time",1,"Never married",2,4,42,7,7,6,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",28,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Very satisfied","Continue to work","Favor",1,14,21
"Working full time",33,"Never married",17,1,17,10,18,18,"High school","MALE","Black","YES","$25,000 or more","$6000 TO 6999",84,"Should not be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME",42,"Very dissatisfied","Continue to work","Favor",5,16,5
"Unemployed, laid off, looking for work",33,"Never married",15,5,36,8,15,5,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",16,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Oppose",13,14,16
"Working full time",54,"Never married",15,3,24,10,7,5,"High school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Oppose",9,14,2
"Working full time",33,"Married",18,1,11,9,5,21,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",12,18,4
"Working full time",38,"Married",11,3,30,5,5,7,"Bachelor's","FEMALE","White","YES","$25,000 or more","$15000 - 19999",109,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",42,"Very satisfied","Stop working","Favor",12,15,1
"Working full time",33,"Married",15,2,15,9,9,5,"Associate/junior college","MALE","White","YES","$20,000 to $24,999","$25000 OR MORE",946,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",41,"Very satisfied","Stop working","Favor",9,15,1
"Retired",21,"Married",11,2,60,11,11,5,"Bachelor's","MALE","White","YES","$10,000 to $14,999","$25000 OR MORE",117,"Should not be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",5,"Very satisfied","Stop working","Favor",13,10,2
"Working full time",38,"Married",2,4,23,11,3,5,"Bachelor's","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Stop working","Favor",9,16,1
