"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Keeping house",37,"Married",2,3,19,9,5,9,"Graduate","MALE","White","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Very happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",9,16,6
"Working full time",33,"Married",16,3,38,11,8,3,"Bachelor's","FEMALE","White","YES","$25,000 or more","$10000 - 14999",9,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,16,1
"Working part time",33,"Married",18,1,23,7,5,5,"Less than high school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",41,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Oppose",1,11,1
"Working part time",24,"Married",4,4,39,9,9,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",17,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Very satisfied","Stop working","Favor",9,14,11
"Working part time",35,"Never married",11,3,10,5,9,15,"High school","MALE","White","YES","$25,000 or more","$25000 OR MORE",61,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Dull","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",1,"A little dissatisfied","Continue to work","Favor",9,10,1
"With a job, but not at work because of temporary illness, vacation, strike",44,"Married",16,1,52,9,9,21,"High school","FEMALE","Black","YES","$25,000 or more","$10000 - 14999",8175,"Should not be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",5,"Very satisfied","Continue to work","Favor",12,10,1
"Retired",47,"Married",2,4,44,5,6,20,"Bachelor's","MALE","White","NO","$25,000 or more","$25000 OR MORE",64,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",15,14,1
"Retired",13,"Divorced",15,5,11,6,5,9,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",166,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",12,15,5
"Retired",8,"Never married",11,3,12,8,1,5,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",95,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Very satisfied","Continue to work","Oppose",1,15,3
"Working full time",24,"Never married",15,2,7,8,19,3,"High school","FEMALE","White","YES","$25,000 or more","LT $1000",74,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",15,10,1
"Keeping house",33,"Never married",11,2,10,7,21,18,"Bachelor's","MALE","Other","YES","$25,000 or more","$25000 OR MORE",137,"Should be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",39,"Very satisfied","Continue to work","Favor",12,2,10
"Unemployed, laid off, looking for work",24,"Married",4,4,22,5,19,5,"Graduate","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",16,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",42,"Moderately satisfied","Continue to work","Favor",14,15,3
"Working full time",44,"Married",17,5,37,5,14,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",166,"Should be legal","YES","Not too happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",27,"Very satisfied","Continue to work","Favor",2,15,1
"Working full time",28,"Never married",11,4,43,5,5,5,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",336,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",9,17,6
"Working full time",33,"Married",15,5,28,11,6,20,"Less than high school","FEMALE","Black","NO","$25,000 or more","$25000 OR MORE",30,"Should not be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",42,"Moderately satisfied","Continue to work","Favor",9,12,11
"Retired",48,"Married",15,4,47,9,5,15,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",3,"Should not be legal","YES","Not too happy","PRETTY HAPPY","Dull","A GREAT DEAL","HARDLY ANY","ONLY SOME","HARDLY ANY",38,"Very satisfied","Continue to work","Favor",12,10,1
"Working full time",53,"Never married",2,1,9,6,11,5,"High school","MALE","White","YES","$20,000 to $24,999","$25000 OR MORE",109,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Stop working","Favor",2,17,1
"Unemployed, laid off, looking for work",25,"Separated",19,4,1,7,3,5,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",144,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",14,16,1
"Keeping house",49,"Never married",11,4,23,7,9,18,"High school","MALE","Black","YES","$10,000 to $14,999","$25000 OR MORE",1526,"Should not be legal","NO","Not too happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",34,"Very satisfied","Stop working","Favor",1,1,1
"Working part time",33,"Married",2,5,23,5,5,9,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",43,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",42,"Very satisfied","Continue to work","Favor",13,16,3
"Working full time",62,"Married",17,3,50,9,4,1,"Associate/junior college","FEMALE","White","YES","$25,000 or more","$10000 - 14999",16,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",16,"Very satisfied","Continue to work","Favor",9,15,2
"Working full time",61,"Divorced",17,5,36,5,11,5,"Less than high school","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",336,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"A little dissatisfied","Continue to work","Favor",12,14,1
"Keeping house",39,"Married",3,1,29,18,3,9,"Less than high school","MALE","White","NO","$25,000 or more","$25000 OR MORE",33,"Should not be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",2,2,6
"Working full time",33,"Divorced",15,2,19,5,8,14,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",30,"Should be legal","YES","Very happy","PRETTY HAPPY","Exciting","A GREAT DEAL","HARDLY ANY","HARDLY ANY","ONLY SOME",1,"Moderately satisfied","Continue to work","Oppose",9,16,6
"Working part time",54,"Married",11,5,45,7,7,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should not be legal","NO","Very happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",9,10,1
"In school",33,"Married",17,1,29,7,5,21,"Bachelor's","MALE","Other","NO","$25,000 or more","$25000 OR MORE",136,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",9,14,15
"Retired",17,"Married",11,7,39,9,5,18,"Associate/junior college","FEMALE","White","YES","$15,000 to $19,999","$25000 OR MORE",93,"Should be legal","YES","Not too happy","VERY HAPPY","Dull","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",12,15,1
