"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Retired",53,"Never married",2,4,4,4,5,5,"High school","FEMALE","White","YES","$10,000 to $14,999","$25000 OR MORE",136,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME",42,"Very satisfied","Continue to work","Favor",2,16,15
"Retired",44,"Never married",19,5,41,5,5,9,"Less than high school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",10,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",15,"Very satisfied","Continue to work","Favor",3,16,3
"Working full time",33,"Widowed",16,4,49,10,5,18,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",4,17,18
"Retired",28,"Divorced",1,3,54,5,9,19,"Bachelor's","FEMALE","White","YES","$25,000 or more","$15000 - 19999",30,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",23,"Moderately satisfied","Stop working","Favor",16,16,2
"With a job, but not at work because of temporary illness, vacation, strike",33,"Never married",11,1,11,9,3,7,"Graduate","MALE","Other","YES","$25,000 or more","$25000 OR MORE",8175,"Should be legal","NO","Pretty happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",40,"Very satisfied","Continue to work","Oppose",1,19,3
"Working full time",33,"Never married",11,1,24,9,20,3,"Bachelor's","FEMALE","White","YES","$25,000 or more","$20000 - 24999",43,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Stop working","Favor",2,16,15
"Working part time",15,"Married",11,1,21,4,11,7,"Graduate","MALE","White","YES","$25,000 or more","LT $1000",90,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME",1,"Very satisfied","Stop working","Favor",12,16,1
"Working part time",44,"Divorced",2,2,12,9,5,9,"Bachelor's","FEMALE","White","NO","$25,000 or more","$1000 TO 2999",94,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY",42,"Moderately satisfied","Continue to work","Favor",1,19,1
"Working full time",44,"Never married",20,1,10,5,9,3,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",57,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",42,"Moderately satisfied","Stop working","Favor",2,14,1
"Keeping house",54,"Married",18,4,34,7,5,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",10,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME",1,"A little dissatisfied","Continue to work","Oppose",9,16,1
"Working full time",54,"Married",11,3,17,5,6,5,"High school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",92,"Should be legal","NO","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",23,"A little dissatisfied","Continue to work","Favor",2,10,3
"Working full time",7,"Never married",19,3,40,11,9,5,"High school","MALE","Black","YES","$25,000 or more","$25000 OR MORE",741,"Should be legal","NO","Very happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",35,"Moderately satisfied","Continue to work","Favor",9,16,4
"Retired",29,"Widowed",16,4,71,12,10,5,"High school","FEMALE","White","YES","$25,000 or more","$8000 TO 9999",43,"Should not be legal","YES","Very happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",42,"Very satisfied","Stop working","Favor",15,2,1
