"wrkstat","hrs1","marital","sibs","childs","age","educ","paeduc","maeduc","degree","sex","race","born","income","rincome","size","grass","postlife","happy","hapmar","life","coneduc","conpress","conmedic","contv","weekswrk","satjob","richwork","sexeduc","tvhours","hrsrelax","mntlhlth"
"Working part time",54,"Married",21,4,46,5,5,5,"Less than high school","FEMALE","Other","NO","$25,000 or more","$25000 OR MORE",144,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Moderately satisfied","Continue to work","Favor",1,10,2
"Working full time",44,"Never married",16,7,23,17,5,11,"Less than high school","MALE","Other","NO","$25,000 or more","$25000 OR MORE",2099,"Should not be legal","NO","Not too happy","VERY HAPPY","Exciting","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME",1,"A little dissatisfied","Stop working","Oppose",17,2,4
"Keeping house",31,"Married",15,1,48,6,5,18,"Graduate","MALE","White","YES","$10,000 to $14,999","$25000 OR MORE",69,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",42,"Very satisfied","Stop working","Favor",12,15,21
"Working full time",33,"Married",18,3,21,5,5,20,"High school","FEMALE","White","YES","$25,000 or more","$20000 - 24999",4,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME",1,"Moderately satisfied","Continue to work","Favor",1,16,5
"Working full time",33,"Married",2,2,25,5,5,18,"High school","FEMALE","Black","YES","$25,000 or more","$8000 TO 9999",43,"Should not be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Stop working","Favor",9,2,1
"Working full time",33,"Never married",11,1,24,9,20,3,"Bachelor's","FEMALE","White","YES","$25,000 or more","$20000 - 24999",43,"Should be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY",1,"Very satisfied","Stop working","Favor",2,16,15
"In school",33,"Never married",11,1,1,5,18,5,"Less than high school","FEMALE","Other","YES","$25,000 or more","$25000 OR MORE",3793,"Should be legal","YES","Not too happy","VERY HAPPY","Exciting","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Stop working","Favor",9,10,14
"Working part time",61,"Married",2,1,24,6,5,15,"High school","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",600,"Should be legal","YES","Not too happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",21,"Very satisfied","Stop working","Favor",9,15,11
"Keeping house",17,"Divorced",17,3,16,5,15,20,"Graduate","FEMALE","Black","NO","$10,000 to $14,999","$3000 TO 3999",166,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",1,"Very satisfied","Continue to work","Favor",18,16,1
"Working part time",38,"Married",2,4,21,7,16,5,"Bachelor's","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",336,"Should not be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",16,14,3
"Retired",44,"Married",19,3,71,9,21,7,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",29,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Dull","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",41,"Very satisfied","Stop working","Favor",2,17,1
"Working part time",33,"Married",11,3,17,9,5,7,"Graduate","FEMALE","White","YES","$15,000 to $19,999","$25000 OR MORE",23,"Should not be legal","YES","Pretty happy","VERY HAPPY","Exciting","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",42,"A little dissatisfied","Continue to work","Favor",14,16,1
"Keeping house",33,"Married",21,5,24,5,6,5,"Bachelor's","MALE","White","YES","$8,000 to $9,999","$3000 TO 3999",1,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME",14,"Very satisfied","Continue to work","Favor",9,14,1
"Keeping house",33,"Never married",11,3,23,9,17,7,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",420,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","A GREAT DEAL",30,"Very satisfied","Continue to work","Favor",1,10,1
"Working full time",24,"Widowed",19,3,59,6,5,20,"High school","FEMALE","Black","NO","$25,000 or more","$10000 - 14999",105,"Should not be legal","YES","Not too happy","VERY HAPPY","Dull","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",30,"Moderately satisfied","Continue to work","Favor",12,15,2
"Retired",63,"Never married",1,4,19,10,20,5,"Bachelor's","MALE","White","YES","$25,000 or more","$25000 OR MORE",46,"Should be legal","YES","Pretty happy","VERY HAPPY","Routine","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME",23,"Moderately satisfied","Continue to work","Favor",15,1,1
"Working full time",22,"Divorced",16,1,39,9,5,9,"Bachelor's","FEMALE","White","YES","$25,000 or more","$25000 OR MORE",43,"Should be legal","NO","Pretty happy","PRETTY HAPPY","Routine","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY",38,"Very satisfied","Stop working","Favor",9,16,1
"Working full time",54,"Never married",15,3,16,7,5,7,"High school","FEMALE","Black","YES","$25,000 or more","$25000 OR MORE",109,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Dull","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY",42,"Very satisfied","Continue to work","Favor",2,15,5
"Retired",33,"Married",11,2,14,10,3,5,"Graduate","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",1,"Should be legal","YES","Very happy","PRETTY HAPPY","Routine","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME",30,"A little dissatisfied","Continue to work","Favor",13,16,15
"Retired",17,"Married",20,4,53,5,9,4,"Bachelor's","MALE","Other","NO","$25,000 or more","$25000 OR MORE",260,"Should be legal","NO","Not too happy","PRETTY HAPPY","Exciting","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",35,"Very satisfied","Stop working","Favor",9,16,1
"Working full time",33,"Divorced",11,1,33,9,17,6,"Associate/junior college","FEMALE","White","NO","$25,000 or more","$25000 OR MORE",57,"Should be legal","YES","Pretty happy","PRETTY HAPPY","Exciting","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",16,"A little dissatisfied","Continue to work","Favor",18,10,8
"Working full time",1,"Never married",19,2,20,5,8,21,"Less than high school","MALE","White","YES","$15,000 to $19,999","$25000 OR MORE",336,"Should be legal","YES","Pretty happy","VERY HAPPY","Dull","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY",1,"Very satisfied","Continue to work","Favor",2,1,1
